Index,Name,2p0E34,1p9E34
0,L1_SingleMuCosmics,0,0
1,L1_SingleMuCosmics_BMTF,0,0
2,L1_SingleMuCosmics_OMTF,0,0
3,L1_SingleMuCosmics_EMTF,0,0
4,L1_SingleMuOpen,0,0
5,L1_SingleMuOpen_BMTF,0,0
6,L1_SingleMuOpen_OMTF,0,0
7,L1_SingleMuOpen_EMTF,0,0
8,L1_SingleMu0_DQ,0,0
9,L1_SingleMu0_BMTF,2000,0
10,L1_SingleMu0_OMTF,0,0
11,L1_SingleMu0_EMTF,0,0
12,L1_SingleMu0_SQ13_BMTF,0,0
13,L1_SingleMu0_SQ14_BMTF,0,0
14,L1_SingleMu0_SQ15_BMTF,0,0
15,L1_SingleMu0_Upt10,0,0
16,L1_SingleMu0_Upt10_BMTF,0,0
17,L1_SingleMu0_Upt10_OMTF,0,0
18,L1_SingleMu0_Upt10_EMTF,0,0
19,L1_SingleMu3,22000,0
20,L1_SingleMu5,4400,0
21,L1_SingleMu7_DQ,0,0
22,L1_SingleMu7,2200,0
23,L1_SingleMu10_SQ14_BMTF,0,0
24,L1_SingleMu11_SQ14_BMTF,1,1
25,L1_SingleMu12_DQ_BMTF,0,0
26,L1_SingleMu12_DQ_OMTF,0,0
27,L1_SingleMu12_DQ_EMTF,0,0
28,L1_SingleMu15_DQ,325,0
29,L1_SingleMu18,210,0
30,L1_SingleMu20,0,0
31,L1_SingleMu22_OQ,0,0
32,L1_SingleMu22_DQ,0,0
33,L1_SingleMu22,1,1
34,L1_SingleMu22_BMTF,0,0
35,L1_SingleMu22_OMTF,0,0
36,L1_SingleMu22_EMTF,0,0
37,L1_SingleMu22_BMTF_POS,0,0
38,L1_SingleMu22_BMTF_NEG,0,0
39,L1_SingleMu22_OMTF_POS,0,0
40,L1_SingleMu22_OMTF_NEG,0,0
41,L1_SingleMu22_EMTF_POS,0,0
42,L1_SingleMu22_EMTF_NEG,0,0
43,L1_SingleMu25,1,0
45,L1_DoubleMu0_OQ,0,0
46,L1_DoubleMu0,0,0
47,L1_DoubleMu0_SQ,1500,0
48,L1_DoubleMu0_SQ_OS,0,0
49,L1_DoubleMu0_Mass_Min1,0,0
50,L1_DoubleMu8_SQ,1,1
51,L1_DoubleMu9_SQ,1,0
52,L1_DoubleMu_12_5,0,0
53,L1_DoubleMu_15_5_SQ,1,1
54,L1_DoubleMu_15_7,1,0
55,L1_DoubleMu_15_7_SQ,1,0
56,L1_DoubleMu_15_7_Mass_Min1,0,0
57,L1_DoubleMu18er2p1_SQ,1,0
58,L1_DoubleMu0_Upt5_Upt5,0,0
59,L1_DoubleMu0_Upt6_SQ_er2p0,1,1
60,L1_DoubleMu0_Upt7_SQ_er2p0,1,0
61,L1_DoubleMu0_Upt8_SQ_er2p0,1,0
62,L1_DoubleMu6_Upt6_SQ_er2p0,0,0
63,L1_DoubleMu7_Upt7_SQ_er2p0,0,0
64,L1_DoubleMu8_Upt8_SQ_er2p0,0,0
65,L1_DoubleMu0_Upt6_IP_Min1_Upt4,1,1
66,L1_DoubleMu0_Upt15_Upt7,1,0
67,L1_DoubleMu0er2p0_SQ_dEta_Max1p6,190,0
68,L1_DoubleMu0er2p0_SQ_dEta_Max1p5,190,0
69,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,100,0
70,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,100,0
71,L1_DoubleMu0er1p5_SQ,0,0
72,L1_DoubleMu0er1p5_SQ_OS,450,0
73,L1_DoubleMu0er1p5_SQ_dR_Max1p4,50,0
74,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,0,0
75,L1_DoubleMu0er1p5_SQ_OS_dEta_Max1p2,0,0
76,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,1,1
77,L1_DoubleMu0er1p4_SQ_OS_dEta_Max1p2,1000,0
78,L1_DoubleMu0er1p4_OQ_OS_dEta_Max1p6,0,0
