Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
0,L1_SingleMuCosmics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,L1_SingleMuCosmics_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,L1_SingleMuCosmics_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,L1_SingleMuCosmics_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,L1_SingleMuOpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,L1_SingleMuOpen_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,L1_SingleMuOpen_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,L1_SingleMuOpen_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,L1_SingleMu0_DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,L1_SingleMu0_BMTF,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
10,L1_SingleMu0_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,L1_SingleMu0_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,L1_SingleMu0_SQ13_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,L1_SingleMu0_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,L1_SingleMu0_SQ15_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,L1_SingleMu0_Upt10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,L1_SingleMu0_Upt10_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,L1_SingleMu0_Upt10_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,L1_SingleMu0_Upt10_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,L1_SingleMu3,0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
20,L1_SingleMu5,0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
21,L1_SingleMu7_DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,L1_SingleMu7,0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
24,L1_SingleMu5_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,L1_SingleMu5_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,L1_SingleMu6_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,L1_SingleMu7_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,L1_SingleMu8_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,L1_SingleMu9_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,L1_SingleMu10_SQ14_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,L1_SingleMu11_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,L1_SingleMu13_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,L1_SingleMu12_DQ_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,L1_SingleMu12_DQ_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,L1_SingleMu12_DQ_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,L1_SingleMu15_DQ,0,163,163,163,163,163,163,163,163,163,163,163,163,163,163
38,L1_SingleMu18,0,210,210,210,210,210,210,210,210,210,210,210,210,210,210
39,L1_SingleMu20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,L1_SingleMu22_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,L1_SingleMu22_DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,L1_SingleMu22,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,L1_SingleMu22_BMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,L1_SingleMu22_OMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,L1_SingleMu22_EMTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,L1_SingleMu22_BMTF_POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,L1_SingleMu22_BMTF_NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,L1_SingleMu22_OMTF_POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,L1_SingleMu22_OMTF_NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,L1_SingleMu22_EMTF_POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,L1_SingleMu22_EMTF_NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,L1_SingleMu25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,L1_SingleMu0_Upt15_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,L1_SingleMu0_Upt20_SQ14_BMTF,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,L1_DoubleMu0_OQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,L1_DoubleMu0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,L1_DoubleMu0_SQ,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
59,L1_DoubleMu0_SQ_OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,L1_DoubleMu0_Mass_Min1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,L1_DoubleMu8_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,L1_DoubleMu9_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,L1_DoubleMu_12_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,L1_DoubleMu_15_5_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,L1_DoubleMu_15_7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,L1_DoubleMu_15_7_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,L1_DoubleMu_15_7_Mass_Min1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,L1_DoubleMu18er2p1_SQ,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,L1_DoubleMu0_Upt5_Upt5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,L1_DoubleMu0_Upt6_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,L1_DoubleMu0_Upt7_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,L1_DoubleMu0_Upt8_SQ_er2p0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,L1_DoubleMu0_Upt6_IP_Min1_Upt4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,L1_DoubleMu0_Upt15_Upt7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,L1_DoubleMu0er2p0_SQ_dEta_Max1p6,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380
76,L1_DoubleMu0er2p0_SQ_dEta_Max1p5,0,380,380,380,380,380,380,380,380,380,380,380,380,380,380
77,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p6,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
78,L1_DoubleMu0er2p0_SQ_OS_dEta_Max1p5,0,100,100,100,100,100,100,100,100,100,100,1,1,100,100
79,L1_DoubleMu0er1p5_SQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,L1_DoubleMu0er1p5_SQ_OS,0,900,900,900,900,900,900,900,900,900,900,900,900,900,900
81,L1_DoubleMu0er1p5_SQ_dR_Max1p4,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
