Index,Name,Emergency,FullZB,MB_UPC_33kHzZB,MB_UPC_22kHzZB,MB_UPC_11kHzZB,MB_UPC_1kHzZB,MB_33kHzZB,MB_22kHzZB,MB_11kHzZB,MB_1kHzZB,Random_10kHzZB,MB_UPC
0,L1_AlwaysTrue,0,0,0,0,0,0,0,0,0,0,0,0
1,L1_BPTX_AND_Ref1_VME,0,0,0,0,0,0,0,0,0,0,0,0
2,L1_BPTX_AND_Ref3_VME,0,0,0,0,0,0,0,0,0,0,0,0
3,L1_BPTX_AND_Ref4_VME,0,0,0,0,0,0,0,0,0,0,0,0
4,L1_BPTX_BeamGas_B1_VME,0,0,0,0,0,0,0,0,0,0,0,0
5,L1_BPTX_BeamGas_B2_VME,0,0,0,0,0,0,0,0,0,0,0,0
6,L1_BPTX_BeamGas_Ref1_VME,0,0,0,0,0,0,0,0,0,0,0,0
7,L1_BPTX_BeamGas_Ref2_VME,0,0,0,0,0,0,0,0,0,0,0,0
8,L1_BPTX_NotOR_VME,0,0,0,0,0,0,0,0,0,0,0,0
9,L1_BPTX_OR_Ref3_VME,0,0,0,0,0,0,0,0,0,0,0,0
10,L1_BPTX_OR_Ref4_VME,0,0,0,0,0,0,0,0,0,0,0,0
11,L1_BPTX_RefAND_VME,0,0,0,0,0,0,0,0,0,0,0,0
12,L1_BptxMinus,0,0,0,0,0,0,0,0,0,0,0,0
13,L1_BptxMinus_NotBptxPlus,0,0,0,0,0,0,0,0,0,0,0,0
14,L1_BptxOR,0,0,0,0,0,0,0,0,0,0,0,0
15,L1_BptxPlus,0,0,0,0,0,0,0,0,0,0,0,0
16,L1_BptxPlus_NotBptxMinus,0,0,0,0,0,0,0,0,0,0,0,0
17,L1_BptxXOR,0,0,0,0,0,0,0,0,0,0,0,0
18,L1_MuShower_OneTight,0,0,0,0,0,0,0,0,0,0,0,0
19,L1_MuShower_OneNominal,0,0,0,0,0,0,0,0,0,0,0,0
20,L1_DoubleMu0_SQ,0,0,0,0,0,0,0,0,0,0,0,0
